상가업소번호,상호명,상권업종중분류명,행정동명,경도,위도,기초지자체 방문자 비율,상권분류
MA010120220809101520,운수대통가든,한식,강동면,129.2872874,35.9317646,1.8,로컬상권
MA010120220811849322,송가네칼국수,한식,산내면,129.0445652,35.75741767,1.0,로컬상권
MA010120220809128957,고니김밥,기타 간이,성건동,129.2070692,35.85530004,3.3,로컬상권
MA010120220809129349,디어빈스,비알코올 ,성건동,129.1891855,35.85981723,3.3,로컬상권
MA010120220809127386,다올감자탕,한식,황성동,129.219515,35.87017211,3.2,로컬상권
MA010120220807020003,용강대반점,중식,용강동,129.2267168,35.87750838,1.6,로컬상권
MA010120220809126136,노곡산마루,한식,내남면,129.2353122,35.73917349,4.1,로컬상권
MA010120220809110128,아로테스,비알코올 ,성건동,129.2056004,35.85502067,3.3,로컬상권
MA010120220809127399,경주화영육회,한식,동천동,129.2243413,35.85273779,2.1,로컬상권
MA010120220809128299,남명반점,중식,안강읍,129.224981,35.98903408,3.2,로컬상권
MA010120220803278152,6.6.구이,한식,황남동,129.2110053,35.83482799,10.7,핫플레이스
MA010120220809119260,삼원식당,한식,황오동,129.2170273,35.84525021,11.3,핫플레이스
MA010120220809102635,경주한식뷔페,구내식당·뷔페,용강동,129.224811,35.86756021,1.6,로컬상권
MA010120220810049610,둥지타코&커피,비알코올 ,불국동,129.3013126,35.77365471,6.1,핫플레이스
MA010120220809105889,처갓집양념치킨,기타 간이,황성동,129.2126627,35.86937952,3.2,로컬상권
MA010120220809106537,제주생도야지,한식,성건동,129.2051001,35.85254297,3.3,로컬상권
MA010120220809047716,김태주선산곱창,한식,황성동,129.2195566,35.86729703,3.2,로컬상권
MA010120220804936296,느티나무,한식,불국동,129.318951,35.78822779,6.1,핫플레이스
MA010120220809817247,남보다방,비알코올 ,외동읍,129.3343107,35.67806734,5.0,핫플레이스
MA010120220809112200,파리바게뜨,기타 간이,동천동,129.2240488,35.85652758,2.1,로컬상권
MA010120220809107575,감포아구찜,한식,동천동,129.2190898,35.85413244,2.1,로컬상권
MA010120220809107978,베네치아,비알코올 ,황성동,129.2141897,35.86776554,3.2,로컬상권
MA010120220805013210,호림정한식뷔페,구내식당·뷔페,건천읍,129.1438918,35.80020033,7.6,핫플레이스
MA010120220805277512,경주맛집밀면,한식,선도동,129.1839885,35.84266578,2.0,로컬상권
MA010120220802680361,전주으뜸식당,한식,불국동,129.3111383,35.77009632,6.1,핫플레이스
