지점,지점명,일시,기온(°C),강수량(mm),습도(%)
283,경주시,2026-07-24 13:00,36.8,,36
283,경주시,2026-07-24 14:00,37.5,,35
283,경주시,2026-07-24 15:00,37.8,,35
283,경주시,2026-07-24 16:00,38,,38
283,경주시,2026-07-24 17:00,35.1,,48
283,경주시,2026-07-24 18:00,34.8,,50
283,경주시,2026-07-24 19:00,33.2,,50
283,경주시,2026-07-24 20:00,31.5,,57
283,경주시,2026-07-24 21:00,29.9,,67
283,경주시,2026-07-24 22:00,29.7,,71
283,경주시,2026-07-24 23:00,28.5,,76
283,경주시,2026-07-25 0:00,27,,84
283,경주시,2026-07-25 1:00,26.3,,87
283,경주시,2026-07-25 2:00,25.8,,89
